Report for PAPI_TOC_CYC, min
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
5	8391.200000	7519.700000	6183.900000	5732.200000	1548.500000	28135.700000
6	8391.200000	15935.700000	10928.900000	5732.200000	3668.600000	59992.600000
7	43447.200000	34239.700000	21133.900000	27700.200000	7433.600000	125207.800000
8	43447.200000	73791.800000	43254.900000	27700.200000	15804.700000	260561.900000
9	219863.500000	158783.800000	90759.900000	136500.500000	35545.700000	541118.400000
10	219863.500000	340544.000000	192752.900000	136500.500000	81686.000000	1121948.500000
11	1070296.900000	727616.500000	410282.000000	655413.700000	173358.400000	2323150.500000
12	1070296.900000	1548865.300000	873235.000000	655413.700000	381340.400000	4791188.200000
13	5051102.100000	3285571.200000	1853980.200000	3065914.800000	831085.800000	9924955.600000
14	5051102.100000	6947398.700000	3926661.300000	3065914.800000	1779644.300000	20480610.600000
15	23290611.000000	14647885.900000	8292399.100000	14047311.000000	3839415.900000	42222410.500000
16	23290611.000000	30802523.900000	17467545.900000	14047311.000000	8238229.400000	86967147.200000
17	105513802.000000	64619129.300000	36701063.800000	63330468.800000	17576368.900000	178979096.200000
18	105513802.000000	135266998.600000	76940294.000000	63330468.800000	37037722.000000	368048540.500000
19	471467178.300000	282592050.700000	160954855.900000	281893373.900000	78562909.100000	756279187.600000
20	471467178.300000	589300778.100000	336067460.400000	281893373.900000	166081604.300000	1552924724.600000
21	2083523123.200000	1226835518.500000	700442742.000000	1241866091.700000	349767205.600000	3186603949.200000
22	2083523123.200000	2550139385.000000	1457515964.800000	1241866091.700000	729699557.300000	6534718642.600000
23	9124716694.700001	5293216208.100000	3028274323.600000	5424641368.900000	1531203936.400000	13392461615.900000
24	9124716694.700001	10972307857.900000	6283060032.300000	5424641368.900000	3205706270.100000	27430974531.700001

Report for PAPI_TOT_INS, max
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	2770	5273	4500	2766	2379	6900
2	2770	5544	4868	2766	2419	8584
3	3826	5061	5444	3485	2523	10760
4	3826	6797	6525	3485	2810	17813
5	10328	10604	8712	7669	3488	32552
6	10328	19020	13457	7669	5609	63328
7	45384	37324	23662	29637	9374	128544
8	45384	76876	45783	29637	17746	263900
9	221803	161869	93288	138440	37487	544461
10	221803	343631	195281	138440	83630	1125300
11	1072247	730707	412810	657364	175306	2327123
12	1072247	1551963	875763	657364	383296	4795092
13	5053098	3288685	1856508	3067910	833055	9928914
14	5053098	6950541	3929189	3067910	1781643	20484765
15	23292779	14651086	8294927	14049479	3841473	42227327
16	23292779	30805838	17470074	14049479	8240402	86973492
17	105516660	64622677	36703592	63333327	17578770	178988020
18	105516660	135271007	76942822	63333327	37040585	368061759
19	471472805	282596978	160957391	281898995	78566691	756299570
20	471472805	589307551	336069993	281898995	166087230	1552957457
21	2083539804	1226845979	700445285	1241882782	349776507	3186639976
22	2083539804	2550157217	1457518577	1241882782	729716229	6534762071
23	9124777606	5293248794	3028276969	5424702299	1531235333	13392519804
24	9124777606	10972369944	6283062712	5424702299	3205766692	27431062194

Report for PAPI_FP_OPS, min
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	113	818	793	113	4	816
2	113	874	892	113	16	858
3	321	338	1097	321	56	282
4	321	781	1447	321	168	645
5	1633	1798	2111	1640	460	1496
6	1633	4136	3587	1640	1241	3476
7	8801	9402	6702	8851	2929	7959
8	8801	21047	13531	8851	6817	17938
9	45153	46759	28392	45326	15617	39952
10	45153	102477	60696	45326	35982	88058
11	221281	222749	130308	221589	79631	192432
12	221281	481256	279954	221589	175123	418111
13	1048673	1039346	599598	1049864	382017	901831
14	1048673	2218398	1279781	1049864	837769	1932246
15	4849768	4745568	2721777	4854682	1802583	4130885
16	4849768	10079616	5769112	4854682	3858788	8777298
17	22020231	21147440	12197178	22040477	8225224	18607419
18	22020231	44701796	25704745	22040477	17631626	39295251
19	98566431	93978573	54028675	98643694	37295292	82825959
20	98566431	197779928	113298631	98643694	78649244	174133655
21	436208770	413557346	237579173	436528345	165421451	365441185
22	436208770	864164405	496096280	436528345	349737607	764159412
23	1912607667	1808795256	1032923162	1913716740	732004979	1595690938
24	1912607667	3762578311	2148974402	1913716740	1528980487	3325218068

Report for PAPI_FP_OPS, avg
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	114.800000	834.300000	805.500000	114.800000	6.100000	830.600000
2	114.800000	889.500000	912.800000	114.800000	18.100000	873.200000
3	323.100000	349.200000	1120.800000	323.900000	57.800000	297.800000
4	323.100000	795.900000	1466.900000	323.900000	170.100000	664.700000
5	1634.800000	1817.600000	2142.200000	1646.500000	461.800000	1511.300000
6	1634.800000	4153.100000	3604.000000	1646.500000	1245.200000	3493.400000
7	8804.100000	9423.500000	6722.800000	8854.500000	2932.100000	7977.000000
8	8804.100000	21070.700000	13557.500000	8854.500000	6820.100000	17959.800000
9	45157.200000	46775.300000	28422.200000	45343.300000	15620.400000	39976.000000
10	45157.200000	102492.500000	60722.200000	45343.300000	35992.900000	88121.700000
11	221291.400000	222836.000000	130339.200000	221615.000000	79650.100000	192482.500000
12	221291.400000	481360.500000	279992.000000	221615.000000	175158.000000	418205.800000
13	1048686.900000	1039760.100000	599647.800000	1049902.700000	382106.700000	902199.300000
14	1048686.900000	2224595.400000	1279825.800000	1049902.700000	837878.300000	1932744.500000
15	4849804.800000	4750300.300000	2727049.600000	4854959.900000	1802803.200000	4131745.500000
16	4849804.800000	10107389.900000	5771257.200000	4854959.900000	3859164.000000	8789183.700000
17	22020364.400000	21190309.500000	12273242.300000	22042844.000000	8225979.200000	18611256.300000
18	22020364.400000	44737120.300000	25896859.800000	22042844.000000	17633099.300000	39349269.600000
19	98566903.200000	94158438.300000	54120025.100000	98653966.200000	37298403.700000	82866807.000000
20	98566903.200000	197995406.400000	113772186.500000	98653966.200000	78655113.000000	174214208.800000
21	436210510.700000	414118209.300000	238865423.900000	436572651.700000	165433031.200000	365457781.200000
22	436210510.700000	864461923.800000	498142172.100000	436572651.700000	349769242.700000	764543417.600000
23	1912614486.900000	1809750754.900000	1036016275.000000	1913893208.800000	732064828.700000	1596482035.900000
24	1912614486.900000	3766483686.500000	2156358079.700000	1913893208.800000	1529095183.900000	3326445109.800000

Report for PAPI_FP_OPS, max
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	131	950	908	131	25	953
2	131	988	1034	131	37	985
3	342	410	1284	341	74	380
4	342	871	1558	341	189	804
5	1651	1894	2330	1656	478	1612
6	1651	4233	3702	1656	1269	3594
7	8832	9520	6854	8865	2955	8058
8	8832	21139	13735	8865	6844	18087
9	45189	46849	28598	45356	15648	40101
10	45189	102518	60885	45356	36076	88247
11	221379	223144	130497	221752	79784	192732
12	221379	481824	280094	221752	175422	418489
13	1048788	1042679	599761	1050064	382486	902508
14	1048788	2225858	1279919	1050064	838606	1936058
15	4850071	4759587	2772288	4857141	1804423	4134239
16	4850071	10110955	5771534	4857141	3862341	8796393
17	22021324	21238566	12599601	22063772	8232064	18635037
18	22021324	44780443	26739475	22063772	17644886	39379303
19	98570677	94582993	54941056	98745496	37324605	82929355
20	98570677	198582204	115525604	98745496	78705553	174351263
21	436225328	415103601	239450752	436969033	165527828	365571629
22	436225328	865974232	503494930	436969033	349997806	764730820
23	1912673783	1814169048	1039294960	1915475051	732512955	1596947956
24	1912673783	3768113428	2162605461	1915475051	1529990415	3327455259

Report for PAPI_L1_DCM, min
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	0	1	1	0	1	0
2	0	0	0	0	1	3
3	0	1	0	0	1	0
4	0	0	0	0	1	0
5	2	0	1	0	0	2
6	2	0	0	0	1	0
7	17	1	1	19	11	14
8	17	2	3	19	31	178
9	1160	16	19	1112	286	966
10	1160	468	93	1112	989	2570
11	9456	3207	2565	9661	3543	6373
12	9456	6681	37976	9661	13286	16580
13	44565	14896	87170	44965	28752	39406
14	44565	32935	195128	44965	39232	92376
15	210513	74003	428173	211688	116331	208589
16	210513	166640	944507	211688	321259	468330
17	1041226	375271	2165067	1029770	684873	1064775
18	1041226	852701	4414813	1029770	1145734	2373372
19	5746676	1948839	8977184	5680197	3066540	5310890
20	5746676	4963625	19237996	5680197	8543698	11755678
21	24797521	10207785	56597677	24582520	20469882	25775675
22	24797521	21246909	121938895	24582520	37095334	55514870
23	107706997	44638825	261364614	106958581	85234061	116770783
24	107706997	93544220	559748327	106958581	196224573	245597586

Report for PAPI_L1_DCM, avg
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	7.700000	14.700000	11.300000	5.800000	6.700000	16.600000
2	7.700000	12.800000	11.000000	5.800000	6.900000	20.300000
3	8.200000	11.800000	11.600000	7.700000	8.100000	16.600000
4	8.200000	11.400000	13.100000	7.700000	8.800000	17.900000
5	15.500000	12.400000	14.300000	12.400000	9.900000	26.300000
6	15.500000	16.500000	14.700000	12.400000	14.600000	32.000000
7	51.000000	21.400000	14.700000	51.900000	29.000000	70.100000
8	51.000000	33.200000	19.300000	51.900000	65.200000	245.300000
9	1226.500000	64.200000	40.300000	1152.500000	321.700000	988.500000
10	1226.500000	547.900000	128.700000	1152.500000	1003.300000	2817.600000
11	9685.400000	3334.900000	2691.000000	9901.200000	3588.500000	7369.600000
12	9685.400000	7121.800000	38079.300000	9901.200000	13806.800000	18469.800000
13	44603.100000	15479.200000	87356.900000	45425.600000	29950.300000	42644.900000
14	44603.100000	34333.800000	195478.000000	45425.600000	41670.300000	97826.300000
15	212227.700000	76478.200000	428825.600000	213894.200000	120932.500000	225217.200000
16	212227.700000	170092.200000	945438.800000	213894.200000	333216.000000	517970.300000
17	1045212.800000	386234.300000	2170431.100000	1033145.400000	693321.500000	1175434.900000
18	1045212.800000	864524.400000	4463595.500000	1033145.400000	1173743.300000	2618217.900000
19	5797920.600000	1956208.100000	9042168.500000	5738381.800000	3080233.200000	5824665.800000
20	5797920.600000	5102307.800000	19297407.000000	5738381.800000	8605803.800000	12870526.800000
21	25050406.900000	10489141.900000	56609955.400000	24806454.300000	20765056.200000	27102656.600000
22	25050406.900000	21661867.100000	122036736.500000	24806454.300000	37719145.500000	57254855.000000
23	108520874.500000	45353693.500000	261559749.700000	107638735.900000	86541419.700000	119442350.200000
24	108520874.500000	94943721.500000	560183836.500000	107638735.900000	199194017.100000	250094644.100000

Report for PAPI_L1_DCM, max
	DFT_buf_rec	kd_fftr2_opt	fft_four1	DFT_rec	fftw	kd_fftr2
1	71	123	94	52	54	145
2	71	116	99	52	55	158
3	70	102	106	69	63	153
4	70	104	117	69	66	157
5	115	110	117	98	82	201
6	115	144	129	98	108	259
7	247	170	122	244	150	373
8	247	244	138	244	256	561
9	1595	337	199	1414	481	1111
10	1595	975	383	1414	1050	2882
11	9727	3379	3378	9945	3772	7513
12	9727	7192	38275	9945	13909	18751
13	44646	15584	87582	45513	30124	44537
14	44646	34562	195963	45513	42050	98520
15	212563	76835	431626	214300	121517	227268
16	212563	170625	946050	214300	335051	523812
17	1045914	387529	2172812	1033918	694938	1188092
18	1045914	866219	4479762	1033918	1178288	2646236
19	5803815	1999694	9052548	5745182	3122053	5883725
20	5803815	5118439	19306506	5745182	8625130	12995555
21	25079804	10520924	56625918	24836365	20813187	27254136
22	25079804	21708762	122111359	24836365	37804799	57467214
23	108613658	45435326	261700552	107716773	86730564	119754868
24	108613658	95100777	561335363	107716773	199568394	250607666

